,time,lon,lat,hum,tem,fah,pm25,pm10,uv,no2,co,so2,o3,aqi
0,3/1/2020 7:32,106.63167,10.819433,76,28,82,34,33,0,6,10,67,0.01,Unhealthy for Sensitive Groups
1,3/1/2020 7:33,106.63166399999999,10.819427000000001,78,28,83,34,33,0,6,10,66,0.01,Unhealthy for Sensitive Groups
2,3/1/2020 7:33,106.63166499999998,10.819428,76,27,82,34,33,0,6,11,65,0.01,Unhealthy for Sensitive Groups
3,3/1/2020 7:33,106.63166499999998,10.819427000000001,77,27,80,35,34,0,6,10,64,0.01,Unhealthy for Sensitive Groups
4,3/1/2020 7:33,106.631666,10.819425,77,28,82,35,34,0,6,10,63,0.01,Unhealthy for Sensitive Groups
5,3/1/2020 7:33,106.631648,10.819432,78,28,82,35,34,0,6,10,61,0.01,Unhealthy for Sensitive Groups
6,3/1/2020 7:33,106.63160500000001,10.81945,78,28,83,35,34,0,6,10,61,0.01,Unhealthy for Sensitive Groups
7,3/1/2020 7:33,106.63155,10.819481,77,27,82,35,34,0,6,10,59,0.01,Unhealthy for Sensitive Groups
8,3/1/2020 7:33,106.63146699999999,10.819533,78,28,82,37,36,0,6,10,59,0.01,Unhealthy for Sensitive Groups
9,3/1/2020 7:33,106.631417,10.81957,78,28,83,37,36,0,6,8,58,0.01,Unhealthy for Sensitive Groups
10,3/1/2020 7:33,106.631368,10.819611,78,27,82,37,36,0,6,10,57,0.01,Unhealthy for Sensitive Groups
11,3/1/2020 7:33,106.63128600000002,10.819662,77,27,82,37,36,0,6,9,57,0.01,Unhealthy for Sensitive Groups
12,3/1/2020 7:33,106.631229,10.819697,78,28,82,37,37,0,6,10,56,0.01,Unhealthy for Sensitive Groups
13,3/1/2020 7:33,106.63116799999999,10.819734,77,27,80,37,36,0,6,10,55,0.01,Unhealthy for Sensitive Groups
14,3/1/2020 7:33,106.63108799999999,10.819782,78,28,83,37,36,0,6,10,55,0.01,Unhealthy for Sensitive Groups
15,3/1/2020 7:33,106.63103100000001,10.819822,79,28,82,37,36,0,6,10,54,0.01,Unhealthy for Sensitive Groups
16,3/1/2020 7:33,106.63099799999999,10.819869,77,28,82,37,36,0,6,9,54,0.01,Unhealthy for Sensitive Groups
17,3/1/2020 7:33,106.630951,10.819965,77,27,82,37,36,0,6,9,53,0.01,Unhealthy for Sensitive Groups
18,3/1/2020 7:33,106.630921,10.820025,77,27,82,38,37,0,6,9,53,0.01,Unhealthy for Sensitive Groups
19,3/1/2020 7:33,106.630899,10.820088,78,28,83,38,37,0,6,9,54,0.01,Unhealthy for Sensitive Groups
20,3/1/2020 7:33,106.630872,10.820159,76,27,81,37,36,0,6,9,55,0.01,Unhealthy for Sensitive Groups
21,3/1/2020 7:33,106.63086200000001,10.820164,77,28,82,38,37,0,6,9,54,0.01,Unhealthy for Sensitive Groups
22,3/1/2020 7:33,106.630873,10.820167,77,29,84,37,36,0,6,9,54,0.01,Unhealthy for Sensitive Groups
23,3/1/2020 7:33,106.63087900000001,10.82017,76,27,81,38,37,0,6,9,54,0.01,Unhealthy for Sensitive Groups
24,3/1/2020 7:33,106.630885,10.820172,76,28,82,38,37,0,6,9,54,0.01,Unhealthy for Sensitive Groups
25,3/1/2020 7:33,106.630889,10.820174,76,27,82,38,37,0,6,9,54,0.01,Unhealthy for Sensitive Groups
26,3/1/2020 7:33,106.630895,10.820177000000001,76,27,81,38,38,0,6,9,53,0.01,Unhealthy for Sensitive Groups
27,3/1/2020 7:34,106.630904,10.820175,75,27,82,39,38,0,6,9,53,0.01,Unhealthy for Sensitive Groups
28,3/1/2020 7:34,106.63091899999999,10.82018,76,28,82,39,38,0,6,9,52,0.01,Unhealthy for Sensitive Groups
29,3/1/2020 7:34,106.630923,10.820182,76,28,83,39,38,0,6,9,51,0.01,Unhealthy for Sensitive Groups
30,3/1/2020 7:34,106.630928,10.820184,76,28,82,39,38,0,6,9,51,0.01,Unhealthy for Sensitive Groups
31,3/1/2020 7:34,106.630931,10.820186,76,28,83,39,38,0,6,9,50,0.01,Unhealthy for Sensitive Groups
32,3/1/2020 7:34,106.63093400000001,10.820186999999999,75,27,81,39,38,0,6,9,50,0.01,Unhealthy for Sensitive Groups
33,3/1/2020 7:34,106.63093300000001,10.820189,77,28,83,39,39,0,6,9,50,0.01,Unhealthy for Sensitive Groups
34,3/1/2020 7:34,106.63093400000001,10.820193,76,28,83,39,38,0,6,9,50,0.01,Unhealthy for Sensitive Groups
35,3/1/2020 7:34,106.63093400000001,10.820195,77,28,83,39,38,0,6,9,48,0.01,Unhealthy for Sensitive Groups
36,3/1/2020 7:34,106.63093700000002,10.820183,76,28,83,39,38,0,6,8,48,0.01,Unhealthy for Sensitive Groups
37,3/1/2020 7:34,106.630936,10.820178,76,28,82,39,38,0,6,8,49,0.01,Unhealthy for Sensitive Groups
38,3/1/2020 7:34,106.63091999999999,10.820183,76,27,81,39,38,0,6,8,49,0.01,Unhealthy for Sensitive Groups
39,3/1/2020 7:34,106.63083400000001,10.82018,77,28,83,39,38,0,6,8,45,0.01,Unhealthy for Sensitive Groups
40,3/1/2020 7:34,106.630773,10.820152,76,28,83,38,38,0,6,8,45,0.01,Unhealthy for Sensitive Groups
41,3/1/2020 7:34,106.630721,10.8201,76,27,82,39,38,0,6,8,44,0.01,Unhealthy for Sensitive Groups
42,3/1/2020 7:34,106.630703,10.820025,76,27,82,39,38,0,6,7,44,0.01,Unhealthy for Sensitive Groups
43,3/1/2020 7:34,106.63071399999998,10.819883,77,28,83,39,38,0,6,7,43,0.01,Unhealthy for Sensitive Groups
44,3/1/2020 7:34,106.63073500000002,10.819778,77,27,82,38,37,0,6,8,43,0.01,Unhealthy for Sensitive Groups
45,3/1/2020 7:34,106.630761,10.819671000000001,77,28,82,38,37,0,6,7,42,0.01,Unhealthy for Sensitive Groups
46,3/1/2020 7:34,106.630808,10.819505,77,28,83,38,37,0,7,8,41,0.01,Unhealthy for Sensitive Groups
47,3/1/2020 7:34,106.63084099999999,10.819389,77,28,82,38,38,0,7,8,41,0.01,Unhealthy for Sensitive Groups
48,3/1/2020 7:34,106.630873,10.819272,77,28,82,38,37,0,7,8,40,0.01,Unhealthy for Sensitive Groups
49,3/1/2020 7:34,106.630923,10.819092999999999,76,27,82,38,37,0,7,8,39,0.01,Unhealthy for Sensitive Groups
50,3/1/2020 7:34,106.630958,10.818975,77,27,81,39,38,0,7,8,38,0.01,Unhealthy for Sensitive Groups
51,3/1/2020 7:34,106.630994,10.818854,77,28,82,39,38,0,7,8,39,0.01,Unhealthy for Sensitive Groups
52,3/1/2020 7:34,106.631045,10.81867,77,28,83,39,38,0,7,8,38,0.01,Unhealthy for Sensitive Groups
53,3/1/2020 7:35,106.63108000000001,10.818546000000001,77,28,82,39,37,0,7,8,38,0.01,Unhealthy for Sensitive Groups
